source_id,latitude,latitude_errors,longitude,longitude_errors,depth,depth_errors,depth_type,origin_evaluation_mode,origievaluation_status,time,region,mag,mag_errors,magnitude_type,creation_info,evaluation_mode,evaluation_status,station_network_code,station_code,trace_channel,station_location_code,trace_sampling_rate_hz,trace_start_time,trace_Peak_M2.4_time,trace_Peak_M2.4_arrival_sample,trace_noise_start_time,trace_noise_start_arrival_sample,trace_Sg_time,trace_Sg_arrival_sample,trace_start_arrival_sample,trace_S_spectral_start_time,trace_S_spectral_start_arrival_sample,trace_S_spectral_end_time,trace_S_spectral_end_arrival_sample,trace_noise_end_time,trace_noise_end_arrival_sample,trace_P_spectral_end_time,trace_P_spectral_end_arrival_sample,trace_Pg_time,trace_Pg_arrival_sample,trace_end_time,trace_end_arrival_sample,trace_P_spectral_start_time,trace_P_spectral_start_arrival_sample,trace_name,trace_y1_time,trace_y1_arrival_sample,trace_y2_time,trace_y2_arrival_sample,trace_Peak_MbS_time,trace_Peak_MbS_arrival_sample,trace_Peak_MbP_time,trace_Peak_MbP_arrival_sample,trace_x1_time,trace_x1_arrival_sample,trace_y3_time,trace_y3_arrival_sample,trace_x3_time,trace_x3_arrival_sample,trace_x2_time,trace_x2_arrival_sample
smi:insight.mqs/mqs2019nhry,4.5024,,135.6234,,,,,manual,preliminary,2019-07-09T04:58:25.000000Z,,2.2,,MW,,,,XB,ELYSE,BH,02,100,2019-07-09T05:03:00.088851Z,2019-07-09T05:09:30.616231Z,23729,2019-07-09T04:49:44.129731Z,0,,,15918,2019-07-09T05:08:43.028247Z,22777,2019-07-09T05:11:51.314466Z,26543,2019-07-09T05:00:49.566920Z,13308,2019-07-09T05:07:23.400595Z,21184,,,2019-07-09T05:18:53.673468Z,34990,2019-07-09T05:03:04.610727Z,16009,"bucket6$0,:3,:34991",2019-07-09T05:03:01.014722Z,15937.0,2019-07-09T05:08:37.249700Z,22661.0,,,,,,,,,,,,
smi:insight.mqs/mqs2019njef,4.5024,,135.6234,,,,,manual,reviewed,2019-07-10T00:15:28.232700Z,,1.8,,MW,,,,XB,ELYSE,BH,02,100,2019-07-10T00:20:28.232776Z,2019-07-10T00:29:42.180616Z,11078,2019-07-10T00:40:29.070309Z,24016,2019-07-10T00:28:25.191859Z,9538.0,0,2019-07-10T00:28:42.613203Z,9887,2019-07-10T00:31:17.383918Z,12982,2019-07-10T00:51:06.649248Z,36767,2019-07-10T00:27:54.462314Z,8924,2019-07-10T00:22:38.164065Z,2598.0,2019-07-10T00:38:12.801451Z,21291,2019-07-10T00:24:41.858758Z,5072,"bucket6$1,:3,:36769",,,,,,,,,,,,,,,,
smi:insight.mqs/mqs2019njig,4.5024,,135.6234,,,,,manual,preliminary,2019-07-10T02:21:29.000000Z,,1.7,,MW,,,,XB,ELYSE,BH,02,100,2019-07-10T02:21:29.535893Z,2019-07-10T02:27:22.569407Z,45957,2019-07-10T01:49:04.661423Z,0,2019-07-10T02:25:57.489779Z,44256.0,38896,2019-07-10T02:25:35.601945Z,43818,2019-07-10T02:28:15.546639Z,47017,2019-07-10T01:58:35.030237Z,11406,2019-07-10T02:25:32.584121Z,43757,2019-07-10T02:21:36.535104Z,39036.0,2019-07-10T02:36:08.062975Z,56467,2019-07-10T02:21:25.122520Z,38808,bucket7,,,,,,,,,,,,,,,,
smi:insight.mqs/mqs2019njke,4.5024,,135.6234,,,,,manual,preliminary,2019-07-10T03:19:32.000000Z,,1.6,,MW,,,,XB,ELYSE,BH,02,100,2019-07-10T03:19:56.622917Z,2019-07-10T03:25:54.589701Z,25161,2019-07-10T03:04:56.500286Z,0,2019-07-10T03:25:03.159292Z,24132.0,18001,2019-07-10T03:25:14.075009Z,24350,2019-07-10T03:33:19.377082Z,34056,2019-07-10T03:18:33.098323Z,16331,2019-07-10T03:24:39.717341Z,23663,2019-07-10T03:20:14.301792Z,18355.0,2019-07-10T03:37:58.833515Z,39646,2019-07-10T03:20:14.519084Z,18359,"bucket6$2,:3,:39647",,,,,,,,,,,,,,,,
smi:insight.mqs/mqs2019nnau,4.5024,,135.6234,,,,,manual,reviewed,2019-07-12T03:03:21.874800Z,,1.6,,MW,,,,XB,ELYSE,BH,02,100,2019-07-12T03:08:21.874839Z,2019-07-12T03:14:29.349574Z,27666,2019-07-12T02:51:26.010093Z,0,2019-07-12T03:13:03.510431Z,25949.0,20316,2019-07-12T03:13:17.673265Z,26232,2019-07-12T03:16:04.066957Z,29560,2019-07-12T02:59:19.867091Z,9476,2019-07-12T03:12:18.199215Z,25043,2019-07-12T03:08:43.134442Z,20741.0,2019-07-12T03:19:50.371862Z,34086,2019-07-12T03:08:49.037667Z,20860,"bucket3$6,:3,:34087",,,,,,,,,,,,,,,,
smi:insight.mqs/mqs2019nnbx,4.5024,,135.6234,,,,,manual,reviewed,2019-07-12T03:35:46.869100Z,,1.5,,MW,,,,XB,ELYSE,BH,02,100,2019-07-12T03:40:46.869114Z,2019-07-12T03:47:48.303309Z,8428,2019-07-12T04:00:53.957746Z,24141,2019-07-12T03:45:07.229900Z,5206.0,0,2019-07-12T03:45:13.951677Z,5341,2019-07-12T03:48:40.916024Z,9480,2019-07-12T04:09:02.592813Z,33914,2019-07-12T03:44:30.587718Z,4474,2019-07-12T03:41:07.953279Z,421.0,2019-07-12T03:49:02.411104Z,9910,2019-07-12T03:41:12.493272Z,512,"bucket3$7,:3,:33915",,,,,,,,,,,,,,,,
smi:insight.mqs/mqs2019noxa,4.5024,,135.6234,,,,,manual,preliminary,2019-07-13T03:30:12.000000Z,,1.6,,MW,,,,XB,ELYSE,BH,02,100,2019-07-13T03:32:44.165683Z,2019-07-13T03:38:24.059349Z,9871,2019-07-13T03:30:10.455599Z,0,2019-07-13T03:36:17.261323Z,7335.0,3073,2019-07-13T03:36:21.178518Z,7413,2019-07-13T03:40:25.874783Z,12307,2019-07-13T03:32:23.317239Z,2656,2019-07-13T03:35:40.395807Z,6598,2019-07-13T03:32:39.752227Z,2985.0,2019-07-13T03:45:15.940942Z,18108,2019-07-13T03:32:41.971448Z,3029,"bucket8$0,:3,:18109",,,,,,,,,,,,,,,,
smi:insight.mqs/mqs2019nwhc,4.5024,,135.6234,,,,,manual,reviewed,2019-07-17T04:28:02.477500Z,,1.2,,MW,,,,XB,ELYSE,BH,02,100,2019-07-17T04:33:02.477519Z,2019-07-17T04:35:25.857471Z,2867,2019-07-17T04:46:04.149063Z,15632,2019-07-17T04:34:40.313564Z,1956.0,0,2019-07-17T04:34:54.771553Z,2245,2019-07-17T04:38:22.892630Z,6407,2019-07-17T04:50:52.231063Z,21394,2019-07-17T04:34:17.607075Z,1502,2019-07-17T04:33:03.253019Z,14.0,2019-07-17T04:41:18.631466Z,9922,2019-07-17T04:33:21.329436Z,376,"bucket1$4,:3,:21395",,,,,,,,,,,,,,,,
smi:insight.mqs/mqs2019nwlf,4.5024,,135.6234,,,,,manual,preliminary,2019-07-17T06:32:05.322900Z,,1.6,,MW,,,,XB,ELYSE,BH,02,100,2019-07-17T06:37:05.322933Z,2019-07-17T06:43:14.545977Z,7384,2019-07-17T06:49:53.434133Z,15361,2019-07-17T06:42:07.969350Z,6052.0,0,2019-07-17T06:42:14.562664Z,6184,2019-07-17T06:46:56.589300Z,11824,2019-07-17T06:57:06.239449Z,24017,2019-07-17T06:41:41.164773Z,5516,2019-07-17T06:37:28.813291Z,469.0,2019-07-17T06:47:20.635883Z,12305,2019-07-17T06:38:12.118714Z,1335,"bucket5$5,:3,:24018",,,,,,,,,,,,,,,,
smi:insight.mqs/mqs2019nykv,4.5024,,135.6234,,,,,manual,preliminary,2019-07-18T08:41:45.000000Z,,1.7,,MW,,,,XB,ELYSE,BH,02,100,2019-07-18T08:43:56.867128Z,2019-07-18T08:50:06.822950Z,32549,2019-07-18T08:22:59.315922Z,0,2019-07-18T08:48:42.769249Z,30868.0,25150,2019-07-18T08:48:39.316463Z,30799,2019-07-18T08:51:23.620318Z,34085,2019-07-18T08:38:35.012454Z,18713,2019-07-18T08:47:38.050618Z,29574,2019-07-18T08:44:28.052126Z,25774.0,2019-07-18T08:58:38.205064Z,42777,2019-07-18T08:44:00.835352Z,25229,"bucket0$3,:3,:42778",,,,,,,,,,,,,,,,
smi:insight.mqs/mqs2019oadn,4.5024,,135.6234,,,,,manual,preliminary,2019-07-19T07:12:52.117500Z,,1.4,,MW,,,,XB,ELYSE,BH,02,100,2019-07-19T07:17:52.117552Z,2019-07-19T07:22:39.577573Z,5748,2019-07-19T07:34:05.763840Z,19472,2019-07-19T07:21:23.542024Z,4227.0,0,2019-07-19T07:21:32.716430Z,4411,2019-07-19T07:26:38.935849Z,10535,2019-07-19T07:40:32.237736Z,27201,2019-07-19T07:20:58.814015Z,3733,2019-07-19T07:18:13.136359Z,419.0,2019-07-19T07:29:13.901172Z,13635,2019-07-19T07:18:10.281485Z,362,"bucket5$6,:3,:27202",,,,,,,,,,,,,,,,
smi:insight.mqs/mqs2019oaid,4.5024,,135.6234,,,,,manual,preliminary,2019-07-19T09:36:34.000000Z,,1.9,,MW,,,,XB,ELYSE,BH,02,100,2019-07-19T09:38:15.396682Z,2019-07-19T09:42:56.958922Z,8005,2019-07-19T09:36:16.655081Z,0,2019-07-19T09:42:21.315577Z,7292.0,2374,2019-07-19T09:41:41.072024Z,6487,2019-07-19T09:43:53.291886Z,9132,2019-07-19T09:38:22.378089Z,2513,2019-07-19T09:41:21.483896Z,6095,2019-07-19T09:38:29.113720Z,2648.0,2019-07-19T09:52:21.660437Z,19299,2019-07-19T09:38:25.190746Z,2570,"bucket8$1,:3,:19300",,,,,,,,,,,,,,,,
smi:insight.mqs/mqs2019ocbz,4.5024,,135.6234,,,,,manual,preliminary,2019-07-20T08:46:52.000000Z,,1.6,,MW,,,,XB,ELYSE,BH,02,100,2019-07-20T08:50:08.453803Z,2019-07-20T08:55:59.460047Z,16933,2019-07-20T08:41:52.802551Z,0,2019-07-20T08:55:05.118377Z,15846.0,9912,2019-07-20T08:55:09.234140Z,15928,2019-07-20T09:02:21.491448Z,24573,2019-07-20T08:49:00.858700Z,8561,2019-07-20T08:54:46.533537Z,15474,2019-07-20T08:50:23.814964Z,10220.0,2019-07-20T09:04:03.743805Z,26618,2019-07-20T08:50:37.772767Z,10499,"bucket5$7,:3,:26619",,,,,,,,,,,,,,,,
smi:insight.mqs/mqs2019ofru,4.5024,,135.6234,,,,,manual,preliminary,2019-07-22T08:09:45.000000Z,,2.0,,MW,,,,XB,ELYSE,BH,02,100,2019-07-22T08:09:53.836173Z,2019-07-22T08:17:13.806803Z,12184,2019-07-22T08:07:04.568540Z,0,2019-07-22T08:14:24.105122Z,8790.0,3384,2019-07-22T08:14:38.245968Z,9072,2019-07-22T08:18:44.968143Z,14007,2019-07-22T08:09:37.541971Z,3058,2019-07-22T08:11:50.888968Z,5725,2019-07-22T08:10:11.241371Z,3732.0,2019-07-22T08:23:42.275453Z,19953,2019-07-22T08:10:02.193185Z,3551,"bucket1$5,:3,:19954",,,,,,,,,,,,,,,,
